kind,label,angle_deg,det_rotation,pca_sign_parity,pca_signs,pca_basis_offdiag,d2_shape,sliced_wasserstein,sliced_wasserstein_sign_spread,occupancy_dice,occupancy_resolution,scale_log_ratio
z_sweep,z_315,315.0,1.0,1,--+,1.0895389351815074e-15,0.0012572376974890754,4.288078645058498e-16,0.0809146658129497,1.0,1.9142807884020079,0.0
z_sweep,z_320,320.0,0.9999999999999999,1,--+,1.9289235025313264e-15,0.0012572376974890787,8.431615576449485e-16,0.0809146658129493,1.0,1.9142807884020079,0.0
z_sweep,z_325,325.0,1.0,1,--+,1.5840038593400153e-15,0.0012572376974890746,3.5286229595083797e-16,0.0809146658129498,1.0,1.9142807884020079,0.0
z_sweep,z_330,330.0,1.0,1,--+,1.086735917628298e-15,0.0012572376974890765,5.222840583593511e-16,0.08091466581294961,1.0,1.9142807884020079,0.0
z_sweep,z_335,335.0,1.0,1,-+-,1.957615386529798e-15,0.001257237697489079,3.240671805159664e-16,0.08091466581294986,1.0,1.9142807884020079,0.0
z_sweep,z_340,340.0,1.0,1,-+-,1.1582716689090835e-15,0.0012572376974890765,1.4558920520618806e-16,0.08091466581295001,1.0,1.9142807884020079,0.0
z_sweep,z_345,345.0,0.9999999999999999,1,--+,7.219501773862823e-16,0.0012572376974890778,2.1231595312160707e-16,0.08091466581294997,1.0,1.9142807884020079,0.0
z_sweep,z_350,350.0,0.9999999999999999,1,--+,5.81730345710685e-16,0.0012572376974890774,2.1939775390686599e-16,0.08091466581294995,1.0,1.9142807884020079,0.0
z_sweep,z_355,355.0,1.0,1,--+,1.4824023564637156e-15,0.001257237697489075,2.7623008770396214e-16,0.0809146658129499,1.0,1.9142807884020079,0.0
random_so3,random_00,,1.0,-1,++-,2.1321348906978237e-15,0.0012572376974890787,0.03846190335398334,0.03911966728071888,0.6274509803921569,1.9142807884020079,0.0
random_so3,random_01,,1.0000000000000002,-1,---,2.6090402275240605e-15,0.0012572376974890741,0.038461903353983355,0.03911966728071884,0.6274509803921569,1.9142807884020079,0.0
random_so3,random_02,,1.0000000000000002,1,-+-,1.1589677138795572e-15,0.0012572376974890808,3.200154496865032e-16,0.08091466581294982,1.0,1.9142807884020079,2.2204460492503128e-16
random_so3,random_03,,1.0000000000000004,-1,-++,9.055034634607513e-16,0.0012572376974890717,2.085311176304392e-16,0.08091466581294994,1.0,1.9142807884020079,2.2204460492503128e-16
random_so3,random_04,,0.9999999999999996,1,--+,1.0219414683475844e-15,0.0012572376974890882,0.03846190335398335,0.039119667280718876,0.6274509803921569,1.9142807884020079,-2.2204460492503136e-16
random_so3,random_05,,0.9999999999999998,1,--+,6.873904329846091e-16,0.001257237697489078,0.03846190335398335,0.03911966728071885,0.6274509803921569,1.9142807884020079,0.0
random_so3,random_06,,1.0000000000000004,1,--+,7.207951383932256e-16,0.0012572376974890908,4.597196813945921e-16,0.08091466581294968,1.0,1.9142807884020079,2.2204460492503128e-16
random_so3,random_07,,1.0,-1,---,5.356485052558598e-16,0.0012572376974890878,2.4748912184309355e-16,0.08091466581294988,1.0,1.9142807884020079,0.0
random_so3,random_08,,1.0000000000000002,-1,---,9.64736241073647e-16,0.0012572376974890787,4.1635103116179304e-16,0.08091466581294972,1.0,1.9142807884020079,0.0
random_so3,random_09,,1.0000000000000004,1,--+,6.952687026927319e-16,0.001257237697489072,4.4095821467628654e-16,0.0809146658129497,1.0,1.9142807884020079,2.2204460492503128e-16
random_so3,random_10,,0.9999999999999996,1,--+,1.5818635387521382e-15,0.0012572376974890696,0.03846190335398334,0.03911966728071888,0.6274509803921569,1.9142807884020079,-2.2204460492503136e-16
random_so3,random_11,,1.0000000000000004,1,--+,1.0694264150015191e-15,0.001257237697489086,3.2122405999252326e-16,0.08091466581294982,1.0,1.9142807884020079,0.0
